new_2_oldTask_1: [0.86, 0.67, 0.53]
new_3_oldTask_1: [0.86, 0.51, 0.41]
new_3_oldTask_2: [0.87, 0.49, 0.32]
new_4_oldTask_1: [0.78]
new_4_oldTask_2: [0.84]
new_4_oldTask_3: [0.83]
new_3_oldTask_3: [0.33, 0.0]
new_3_oldTask_4: [0.84, 0.84]
new_1_oldTask_1: [0.41, 0.63]
new_1_oldTask_2: [0.28, 0.54]
new_1_oldTask_3: [0.05, 0.54]
new_1_oldTask_4: [0.77, 0.81]
new_2_oldTask_2: [0.6, 0.52]
new_2_oldTask_3: [0.72, 0.78]
new_2_oldTask_4: [0.72, 0.63]
