new_2_oldTask_1: [0.85, 0.64, 0.55]
new_3_oldTask_1: [0.82, 0.41, 0.36]
new_3_oldTask_2: [0.9, 0.38, 0.37]
new_4_oldTask_1: [0.68]
new_4_oldTask_2: [0.76]
new_4_oldTask_3: [0.81]
new_3_oldTask_3: [0.12, 0.0]
new_3_oldTask_4: [0.87, 0.84]
new_1_oldTask_1: [0.34, 0.61]
new_1_oldTask_2: [0.31, 0.53]
new_1_oldTask_3: [0.01, 0.45]
new_1_oldTask_4: [0.76, 0.81]
new_2_oldTask_2: [0.61, 0.58]
new_2_oldTask_3: [0.71, 0.79]
new_2_oldTask_4: [0.71, 0.53]
