new_2_oldTask_1: [0.86, 0.76, 0.68]
new_3_oldTask_1: [0.88, 0.5, 0.34]
new_3_oldTask_2: [0.91, 0.5, 0.45]
new_4_oldTask_1: [0.72]
new_4_oldTask_2: [0.82]
new_4_oldTask_3: [0.82]
new_3_oldTask_3: [0.33, 0.05]
new_3_oldTask_4: [0.87, 0.84]
new_1_oldTask_1: [0.36, 0.6]
new_1_oldTask_2: [0.35, 0.56]
new_1_oldTask_3: [0.12, 0.54]
new_1_oldTask_4: [0.78, 0.81]
new_2_oldTask_2: [0.69, 0.59]
new_2_oldTask_3: [0.74, 0.78]
new_2_oldTask_4: [0.69, 0.68]
