new_2_oldTask_1: [0.89, 0.76, 0.67]
new_3_oldTask_1: [0.88, 0.5, 0.4]
new_3_oldTask_2: [0.88, 0.47, 0.41]
new_4_oldTask_1: [0.73]
new_4_oldTask_2: [0.73]
new_4_oldTask_3: [0.81]
new_3_oldTask_3: [0.19, 0.07]
new_3_oldTask_4: [0.87, 0.82]
new_1_oldTask_1: [0.42, 0.59]
new_1_oldTask_2: [0.37, 0.51]
new_1_oldTask_3: [0.09, 0.41]
new_1_oldTask_4: [0.79, 0.81]
new_2_oldTask_2: [0.65, 0.57]
new_2_oldTask_3: [0.72, 0.79]
new_2_oldTask_4: [0.69, 0.59]
