new_2_oldTask_1: [0.88, 0.69, 0.53]
new_3_oldTask_1: [0.85, 0.44, 0.32]
new_3_oldTask_2: [0.88, 0.37, 0.33]
new_4_oldTask_1: [0.76]
new_4_oldTask_2: [0.77]
new_4_oldTask_3: [0.82]
new_3_oldTask_3: [0.13, 0.01]
new_3_oldTask_4: [0.88, 0.82]
new_1_oldTask_1: [0.35, 0.55]
new_1_oldTask_2: [0.3, 0.48]
new_1_oldTask_3: [0.01, 0.42]
new_1_oldTask_4: [0.77, 0.81]
new_2_oldTask_2: [0.65, 0.52]
new_2_oldTask_3: [0.74, 0.8]
new_2_oldTask_4: [0.69, 0.47]
