new_3_oldTask_1: [0.92, 0.44, 0.24]
new_2_oldTask_1: [0.9, 0.15, 0.19]
new_2_oldTask_3: [0.77, 0.0, 0.0]
new_4_oldTask_1: [0.41]
new_4_oldTask_2: [0.5]
new_4_oldTask_3: [0.81]
new_2_oldTask_2: [0.21, 0.2]
new_2_oldTask_4: [0.84, 0.88]
new_1_oldTask_1: [0.19, 0.34]
new_1_oldTask_2: [0.22, 0.39]
new_1_oldTask_3: [0.0, 0.45]
new_1_oldTask_4: [0.77, 0.8]
new_3_oldTask_2: [0.51, 0.27]
new_3_oldTask_3: [0.72, 0.79]
new_3_oldTask_4: [0.69, 0.0]
