new_3_oldTask_1: [0.9, 0.5, 0.23]
new_2_oldTask_1: [0.91, 0.17, 0.23]
new_2_oldTask_3: [0.74, 0.0, 0.0]
new_4_oldTask_1: [0.41]
new_4_oldTask_2: [0.41]
new_4_oldTask_3: [0.82]
new_2_oldTask_2: [0.21, 0.33]
new_2_oldTask_4: [0.81, 0.85]
new_1_oldTask_1: [0.28, 0.35]
new_1_oldTask_2: [0.2, 0.36]
new_1_oldTask_3: [0.0, 0.3]
new_1_oldTask_4: [0.76, 0.8]
new_3_oldTask_2: [0.5, 0.27]
new_3_oldTask_3: [0.73, 0.8]
new_3_oldTask_4: [0.71, 0.0]
