new_3_oldTask_1: [0.93, 0.38, 0.25]
new_2_oldTask_1: [0.92, 0.2, 0.3]
new_2_oldTask_3: [0.75, 0.0, 0.0]
new_4_oldTask_1: [0.3]
new_4_oldTask_2: [0.45]
new_4_oldTask_3: [0.81]
new_2_oldTask_2: [0.19, 0.23]
new_2_oldTask_4: [0.8, 0.84]
new_1_oldTask_1: [0.27, 0.45]
new_1_oldTask_2: [0.32, 0.48]
new_1_oldTask_3: [0.0, 0.49]
new_1_oldTask_4: [0.75, 0.8]
new_3_oldTask_2: [0.36, 0.27]
new_3_oldTask_3: [0.76, 0.78]
new_3_oldTask_4: [0.7, 0.0]
