new_3_oldTask_1: [0.93, 0.43, 0.23]
new_2_oldTask_1: [0.91, 0.16, 0.29]
new_2_oldTask_3: [0.78, 0.0, 0.0]
new_4_oldTask_1: [0.32]
new_4_oldTask_2: [0.42]
new_4_oldTask_3: [0.84]
new_2_oldTask_2: [0.25, 0.22]
new_2_oldTask_4: [0.84, 0.88]
new_1_oldTask_1: [0.19, 0.28]
new_1_oldTask_2: [0.12, 0.45]
new_1_oldTask_3: [0.0, 0.42]
new_1_oldTask_4: [0.77, 0.81]
new_3_oldTask_2: [0.4, 0.27]
new_3_oldTask_3: [0.74, 0.79]
new_3_oldTask_4: [0.73, 0.0]
