new_3_oldTask_1: [0.93, 0.4, 0.23]
new_2_oldTask_1: [0.92, 0.2, 0.22]
new_2_oldTask_3: [0.74, 0.0, 0.0]
new_4_oldTask_1: [0.34]
new_4_oldTask_2: [0.45]
new_4_oldTask_3: [0.7]
new_2_oldTask_2: [0.21, 0.29]
new_2_oldTask_4: [0.82, 0.85]
new_1_oldTask_1: [0.24, 0.35]
new_1_oldTask_2: [0.31, 0.41]
new_1_oldTask_3: [0.0, 0.55]
new_1_oldTask_4: [0.73, 0.81]
new_3_oldTask_2: [0.43, 0.27]
new_3_oldTask_3: [0.73, 0.79]
new_3_oldTask_4: [0.76, 0.0]
