Key,Value
new_2_oldTask_1,"[0.7047619047619048, 0.6285714285714286, 0.638095238095238, 0.4857142857142857]"
new_3_oldTask_1,"[0.6571428571428571, 0.5523809523809524, 0.6476190476190476]"
new_3_oldTask_2,"[0.6476190476190476, 0.5619047619047619, 0.6761904761904762]"
new_2_oldTask_2,"[0.6571428571428571, 0.6476190476190476, 0.4380952380952381]"
new_2_oldTask_3,"[0.7142857142857143, 0.6857142857142857, 0.45714285714285713]"
new_3_oldTask_3,"[0.6, 0.6571428571428571]"
new_1_oldTask_1,[0.6857142857142857]
new_1_oldTask_2,[0.6095238095238096]
new_1_oldTask_3,[0.6095238095238096]
